#         t          x          y          z         vx         vy         vz
      0.000   -476.220    491.440   -412.410     45.330    101.980    142.020
      0.071   -472.950    498.950   -402.040     48.240    106.430    147.110
      0.143   -469.310    506.760   -391.420     58.540    111.420    150.780
      0.214   -465.050    515.030   -380.300     63.150    116.570    159.980
      0.286   -460.200    523.510   -368.470     71.810    123.800    170.880
      0.357   -454.660    532.670   -355.780     81.390    129.040    183.430
      0.429   -448.100    541.960   -342.360     96.310    133.640    191.170
      0.500   -440.900    551.430   -328.530    108.410    135.030    202.870
      0.571   -432.470    561.120   -313.980    130.050    136.890    210.530
      0.643   -422.370    570.870   -298.350    153.810    133.870    222.670
      0.714   -410.450    580.340   -281.700    177.900    126.650    235.180
      0.786   -396.700    588.860   -264.640    205.430    113.670    242.970
      0.857   -380.910    596.260   -247.170    236.440     93.190    247.580
      0.929   -362.700    601.800   -229.410    263.460     59.800    245.410
      1.000   -343.300    605.110   -212.110    280.170     32.020    237.290
      1.071   -323.070    606.340   -195.610    287.860      1.990    220.240
      1.143   -302.650    605.520   -180.450    286.570    -25.170    203.890
      1.214   -282.300    602.790   -166.470    281.440    -53.330    186.600
      1.286   -262.540    598.360   -153.560    271.240    -68.650    175.540
      1.357   -243.400    592.970   -141.350    262.720    -81.430    164.150
      1.429   -224.840    586.560   -130.160    256.690    -96.410    150.280
      1.500   -206.970    579.300   -119.820    244.560   -107.600    139.310
      1.571   -189.860    571.290   -110.350    237.020   -115.520    129.870
      1.643   -173.300    562.820   -101.420    227.440   -122.790    119.670
      1.714   -157.330    553.800    -93.080    217.690   -131.030    112.430
      1.786   -142.170    544.240    -85.400    207.540   -135.560    104.800
      1.857   -127.680    534.380    -78.190    199.090   -141.780     98.460
      1.929   -113.680    524.060    -71.440    190.690   -147.650     90.260
      2.000   -100.290    513.290    -65.170    182.510   -155.010     84.070
      2.071    -87.640    502.080    -59.300    171.140   -157.580     79.950
      2.143    -75.690    490.790    -53.860    168.150   -157.200     73.460
      2.214    -63.990    479.380    -48.940    156.660   -161.270     68.140
      2.286    -52.980    467.620    -44.130    149.970   -165.400     63.310
      2.357    -42.380    455.610    -39.880    144.110   -170.010     58.470
      2.429    -32.360    443.390    -35.730    134.610   -170.640     56.200
      2.500    -23.060    431.080    -31.830    124.320   -176.330     51.560
      2.571    -14.370    418.420    -28.180    116.460   -179.030     47.270
      2.643     -6.250    405.460    -24.910    111.430   -185.650     44.290
      2.714      1.360    392.090    -22.010    102.790   -186.960     38.350
      2.786      8.540    378.660    -19.490     97.640   -189.990     33.240
      2.857     15.210    364.890    -17.080     88.890   -195.970     29.900
      2.929     21.000    350.720    -15.070     76.870   -200.400     24.600
      3.000     26.230    336.340    -13.360     68.860   -203.270     21.760
      3.071     30.760    321.640    -11.780     58.220   -207.920     18.730
      3.143     34.520    306.550    -10.590     47.630   -213.860     15.540
      3.214     37.490    291.150     -9.830     36.780   -218.240      8.780
      3.286     39.500    275.330     -9.480     20.880   -223.210      3.250
      3.357     40.360    259.280     -9.350      4.840   -228.190     -0.960
      3.429     40.200    242.820     -9.530    -13.280   -231.920     -7.110
      3.500     38.430    226.070    -10.270    -32.210   -238.680    -14.070
      3.571     35.500    208.780    -11.490    -54.350   -244.940    -20.520
      3.643     30.870    191.180    -13.290    -79.970   -246.200    -32.180
      3.714     24.000    173.660    -16.030   -113.680   -243.070    -44.040
      3.786     14.480    156.600    -19.650   -152.040   -232.360    -56.770
      3.857      2.470    140.760    -24.240   -188.060   -210.420    -71.710
      3.929    -12.020    126.700    -29.650   -219.980   -178.970    -81.140
      4.000    -28.670    115.670    -35.700   -246.170   -128.950    -86.150
      4.071    -47.000    108.420    -41.570   -260.070    -70.270    -78.510
      4.143    -65.320    105.740    -46.970   -250.820     -1.980    -66.690
      4.214    -82.230    108.140    -51.000   -219.330     69.450    -47.060
      4.286    -96.030    115.230    -53.700   -166.160    123.710    -29.060
      4.357   -105.590    125.360    -55.000   -104.650    154.610    -10.290
      4.429   -111.040    137.010    -55.050    -46.870    169.030      6.860
      4.500   -112.600    149.110    -54.130      1.300    169.700     16.360
      4.571   -111.120    161.090    -52.680     39.510    165.450     25.650
      4.643   -107.060    172.670    -50.710     71.770    160.410     30.740
      4.714   -100.870    183.850    -48.230    100.630    153.760     39.510
      4.786    -92.710    194.450    -45.020    125.210    145.920     49.600
      4.857    -82.770    204.720    -41.130    148.560    137.680     59.530
      4.929    -71.600    214.310    -36.330    167.310    129.800     71.980
      5.000    -59.120    223.310    -30.800    183.190    123.040     85.690
      5.071    -45.360    232.100    -23.940    206.210    120.580    106.480
      5.143    -29.790    240.450    -15.100    230.550    113.370    144.480
      5.214    -12.430    247.780     -2.560    255.410     86.430    213.280
      5.286      5.480    250.930     15.440    232.280     -6.200    277.150
      5.357     20.120    247.490     34.800    179.680    -81.360    260.140
      5.429     31.450    240.380     52.010    142.110   -112.770    221.160
      5.500     40.720    231.680     66.450    117.770   -131.770    184.220
      5.571     48.170    221.840     78.350     94.280   -142.620    156.860
      5.643     54.260    211.400     88.310     77.540   -149.660    128.600
      5.714     59.280    200.350     96.690     62.870   -158.000    104.560
      5.786     63.290    188.910    103.440     50.520   -162.110     81.850
      5.857     66.430    177.140    108.440     33.820   -167.460     58.110
      5.929     68.700    165.200    111.960     20.190   -167.590     36.580
      6.000     69.910    153.200    113.750      6.920   -168.650     11.760
      6.071     69.680    141.260    113.500     -3.990   -166.220    -11.150
      6.143     68.900    129.600    111.830    -18.610   -160.970    -36.440
      6.214     67.140    118.320    108.210    -31.990   -155.320    -65.920
      6.286     64.380    107.730    102.340    -47.000   -142.260    -98.360
      6.357     60.370     98.090     94.110    -63.950   -125.640   -129.630
      6.429     55.290     89.920     83.650    -76.690   -102.650   -162.530
      6.500     49.380     83.650     70.880    -89.350    -71.800   -197.690
      6.571     42.400     80.130     55.730   -102.210    -25.930   -228.470
      6.643     34.930     80.310     38.350   -107.510     34.590   -254.370
      6.714     27.160     85.640     20.000    -99.800    115.470   -253.700
      6.786     20.800     96.530      2.820    -75.980    186.310   -217.880
      6.857     16.600    111.410    -10.350    -39.600    224.780   -151.780
